"PLANNING DU 1ER SEMESTRE 2017/2018 - MASTER MVA ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","J.Tierny / F.Chazal","","","","","","","","","","","","","","","","","","","","","","","",""
"","Salle C109","","","","","","","","","","","","","","","","","","","","","","","",""
"10h30-12h30","11h00 - 13h00","","13h30 - 18h45","","","","","","","","","","","","","","","","","","","","","",""
"Graphs in Machine Learning","Reinforcement Learning","","Méthodes mathématiques pour les
  neurosciences","","","","","","","","","","","","","","","","","","","","","",""
"M, Valko","A, Lazaric","","Tanre / Veltz","","","","","","","","","","","","","","","","","","","","","",""
"Salle Condorcet","Salle Condorcet","","Jussieu, salle à venir","","","","","","","","","","","","","","","","","","","","","",""
"13h45-16h45","12h45 - 15h45","","","14h00 - 17h00","","","","","","","","","","","","","","","","","","","","",""
"Discrete Inference and Learning","3D Computer Vision","","","The partial differential equations of image processing","","","","","","","","","","","","","","","","","","","","",""
"N.Paragios/Y.Tarabalka/K.Alahari","M.Aubry","","","JM, Morel","","","","","","","","","","","","","","","","","","","","",""
"CentraleSupélec Salle à confirmer","Telecom salle C48","","","Salle C103","","","","","","","","","","","","","","","","","","","","",""
"","16h15 - 19h15","","","","","","","","","","","","","","","","","","","","","","","",""
"","Object Recognition and Computer 
 Vision","","","","","","","","","","","","","","","","","","","","","","","",""
"","Ponce / Sivic","","","","","","","","","","","","","","","","","","","","","","","",""
"","ENS Ulm Immeuble Rataud Amphi Galois","","","","","","","","","","","","","","","","","","","","","","","",""
"semaine 45","","","","","","","","","","","","","","","","","","","","","","","","",""
"lundi 6 novembre 2017","mardi 7 novembre 2017","mercredi 8 novembre 2017","jeudi 9 novembre 2017","vendredi 10 novembre 2017","","","","","","","","","","","","","","","","","","","","",""
"","08h45 - 10h45","09h00 - 12h00","09h00 - 12h15","09h00-13h00","","","","","","","","","","","","","","","","","","","","",""
"","Introduction to Statistical Learning","Probabilistic Graphical Models","Introduction à l'imagerie numérique","Computational Statistics","","","","","","","","","","","","","","","","","","","","",""
"","N, Vayatis","Bach / Obozinski","Gousseau / Delon","S.Allassonnière","","","","","","","","","","","","","","","","","","","","",""
"","Salle Condorcet","Amphi Marie Curie","Telecom Salle C49","Salle Condorcet / TP C109","","","","","","","","","","","","","","","","","","","","",""
"10h00-12h30","11h00 -13h00","","11h00 - 13h00","9h00-12h00","","","","","","","","","","","","","","","","","","","","",""
"Parcimonie et Compressed
  Sensing","Analyse topologique de données","","Reinforcement Learning","Unsupervised learning: From big data to low-dimensional representations","","","","","","","","","","","","","","","","","","","","",""
"G, Peyre","J.Tierny / F.Chazal","","A, Lazaric","R. Vidal","","","","","","","","","","","","","","","","","","","","",""
"ENS Ulm salle Henri Cartan","Salle C103","","Salle Condorcet","Salle C315","","","","","","","","","","","","","","","","","","","","",""
"10h30-12h30","11h00 - 15h00","13h30 - 16h30","13h30 - 18h45","","","","","","","","","","","","","","","","","","","","","",""
"Graphs in Machine Learning","Advanced Learning for Text and
  Graph Data (ALTeGraD)","Optimisation et caractéristiques des minimiseurs. Application aux images.","Méthodes mathématiques pour les
  neurosciences","","","","","","","","","","","","","","","","","","","","","",""
"M, Valko","M, Vazirgiannis","S Ladjal","Tanre / Veltz","","","","","","","","","","","","","","","","","","","","","",""
"Salle Condorcet","ENS Cachan amphi Curie","Salle C103","Jussieu, salle à venir","","","","","","","","","","","","","","","","","","","","","",""
"13h30 - 16h30","12h45 - 15h45","13h30 - 17h00","13h30 - 16h00","14h00 - 17h00","","","","","","","","","","","","","","","","","","","","",""
"Optimisation convexe :
  modélisation, algorithmes et applications","3D Computer Vision","Introduction to Medical Image Analysis","Sub-pixel Image Processing","The partial differential equations of image processing","","","","","","","","","","","","","","","","","","","","",""
"A, D'Aspremont","P. Monasse","H.Delingette","L, Moisan","JM, Morel","","","","","","","","","","","","","","","","","","","","",""
"Amphi Dussane ENS Ulm","Telecom amphi Grenat","Salle C102","Salle C103","Salle C103","","","","","","","","","","","","","","","","","","","","",""
"13h45-16h45","16h15 - 19h15","","16h15 - 18h15","","","","","","","","","","","","","","","","","","","","","",""
"Discrete Inference and Learning","Object Recognition and Computer 
 Vision","","TP-Sub-pixel Image Processing","","","","","","","","","","","","","","","","","","","","","",""
"N.Paragios/Y.Tarabalka/K.Alahari","Ponce / Sivic","","L, Moisan","","","","","","","","","","","","","","","","","","","","","",""
"CentraleSupélec Salle à confirmer","ENS Ulm Immeuble Rataud Amphi Galois","","Salle C109","","","","","","","","","","","","","","","","","","","","","",""
"","16h00-18h00","","","","","","","","","","","","","","","","","","","","","","","",""
"","Lecture Group: foundations and theory of mathematics for learning & vision","","","","","","","","","","","","","","","","","","","","","","","",""
"","V.Perchet","","","","","","","","","","","","","","","","","","","","","","","",""
"","salle C103","","","","","","","","","","","","","","","","","","","","","","","",""
"semaine 46","","","","","","","","","","","","","","","","","","","","","","","","",""
"lundi 13 novembre 2017","mardi 14 novembre 2017","mercredi 15 novembre 2017","jeudi 16 novembre 2017","vendredi 17 novembre 2017","","","","","","","","","","","","","","","","","","","","",""
